# seed: (numpy internal)
# N: 155
# minAmplitude: 0.3891415
# maxAmplitude: 0.9823132
# minSigma: 14.0007560
# maxSigma: 17.9985816
# minX0: 2794.6671558
# maxX0: 2808.8111477
# minAlpha: 1.4560285
# maxAlpha: 1.6559994
# chi2 amplitude sigma x0 alpha
0.5397087 0.6694466 17.0205510 2802.0771197 1.5075603
0.5425433 0.5792699 16.5394271 2802.3394406 1.4971298
0.5429908 0.6926016 15.6312558 2801.4218460 1.5901610
0.5442907 0.6002510 16.8275528 2800.2874165 1.5825752
0.5457440 0.6018090 17.5104961 2803.3542688 1.5032143
0.5459220 0.6763363 14.9795546 2800.7868288 1.5821001
0.5468895 0.6250581 17.3250509 2802.0536920 1.5591502
0.5486988 0.5796110 17.5483700 2799.8459076 1.5120317
0.5488914 0.6928254 15.8335962 2802.6345766 1.5440050
0.5506915 0.6117748 17.1554597 2799.7678030 1.5213204
0.5519983 0.5954464 16.9084272 2799.7290895 1.5367845
0.5522199 0.7057243 15.7393393 2801.9072272 1.5567128
0.5523051 0.5494631 17.6443210 2800.8576998 1.5578537
0.5523061 0.6533317 16.3098201 2803.4014547 1.5623840
0.5528643 0.6067574 16.9373000 2799.9267182 1.4746618
0.5533790 0.6389111 16.2418507 2803.6002637 1.5491169
0.5538705 0.6009539 16.0936778 2803.7179809 1.5849719
0.5544167 0.5419654 17.5079530 2802.6583351 1.5123823
0.5548879 0.6395297 16.5468839 2802.9190730 1.5885458
0.5550127 0.6360728 15.7992299 2801.3381679 1.6278594
0.5555293 0.5354452 17.3868899 2802.6010901 1.5540833
0.5582353 0.6772035 16.1621634 2800.6131537 1.5595596
0.5585570 0.6977824 15.2165627 2802.3793631 1.5557501
0.5586520 0.6108861 17.0436136 2803.3051077 1.5686630
0.5602632 0.5663373 16.2791370 2802.4123856 1.6254975
0.5603184 0.5488362 15.9817443 2802.1256943 1.5656104
0.5606457 0.7091286 15.0403394 2802.0711646 1.5874980
0.5608554 0.6919762 16.3479854 2802.0840139 1.5266524
0.5623954 0.6696958 14.6573722 2801.7736873 1.5806718
0.5637900 0.6559079 15.9637464 2800.0204685 1.5532111
0.5652962 0.5486708 17.0268329 2800.9547777 1.4975620
0.5667349 0.5609826 15.9698977 2802.4039401 1.5498259
0.5674765 0.6607308 16.4391174 2801.1274080 1.4645197
0.5721927 0.6923011 16.0983560 2800.8390644 1.5402609
0.5764888 0.5958078 16.1752957 2801.4603325 1.4953989
0.5770714 0.6000984 17.5668976 2803.3959727 1.5207072
0.5774927 0.6719509 15.1879333 2800.8804032 1.6129357
0.5787759 0.5810363 16.9721102 2803.3695592 1.5863783
0.5791859 0.6572064 16.5843222 2800.2126325 1.5444959
0.5820774 0.6055931 17.7886880 2800.0618371 1.5078848
0.5839647 0.6819015 16.4755537 2802.0584107 1.5531279
0.5852750 0.6128650 14.8952994 2802.2653511 1.5818667
0.5855268 0.6472083 15.5514679 2802.9459443 1.6212078
0.5858668 0.6206514 16.9836099 2803.5249450 1.5126077
0.5872071 0.5311087 17.7122103 2800.9847137 1.5209149
0.5875143 0.7059319 15.1836635 2801.1058428 1.5776457
0.5876879 0.5347463 17.4145838 2802.0675035 1.5040862
0.5914756 0.6061744 16.4762610 2800.6116903 1.4755366
0.5921514 0.5498316 17.4812045 2802.0889513 1.4713009
0.5930747 0.6620160 15.5884042 2800.9548614 1.6168286
0.5932465 0.5291886 17.5962033 2801.4919934 1.5074185
0.5950937 0.6801740 16.7306723 2800.6513876 1.4909961
0.5951371 0.5548470 16.7775282 2803.1247980 1.5972052
0.5953843 0.5441358 16.9778653 2802.4623462 1.5138761
0.5959140 0.6049053 16.1363103 2802.9691135 1.5168781
0.6049208 0.5858408 17.8419770 2800.7954840 1.5481154
0.6058853 0.6116110 17.2536178 2799.5841072 1.4853024
0.6063654 0.6856189 16.2779080 2800.5237308 1.5266655
0.6068382 0.6232615 16.9946098 2801.2134443 1.5863952
0.6075711 0.5334393 17.7136208 2801.1163540 1.4891673
0.6086652 0.5576063 15.7052582 2801.9986812 1.5654083
0.6091177 0.5296665 17.3189566 2802.5495805 1.5448116
0.6107401 0.6722319 16.3065982 2803.1813974 1.5459470
0.6109084 0.5440389 17.7789351 2800.6210778 1.5447055
0.6115256 0.6704731 16.5816750 2800.2021455 1.4953447
0.6122867 0.6751934 17.1279248 2802.0366328 1.4786933
0.6123414 0.6216395 15.4357813 2803.5942362 1.5937852
0.6126550 0.6765277 16.4545026 2802.1304868 1.5682277
0.6139128 0.5298362 17.6780959 2800.9609055 1.5357240
0.6142737 0.6545295 17.2425628 2802.5952458 1.5204067
0.6146323 0.5789922 17.4329922 2801.4668503 1.5885747
0.6171990 0.5738291 16.2856946 2800.3226983 1.6075285
0.6172647 0.6236585 17.5803374 2802.2579627 1.5452344
0.6199678 0.5414913 16.7122742 2800.6617370 1.5866864
0.6200077 0.5659385 17.9631867 2803.2548778 1.5096659
0.6200815 0.5547760 16.2524691 2800.3850571 1.5676584
0.6215421 0.6447030 16.3322773 2803.1885436 1.5951328
0.6225395 0.6779834 15.7603036 2802.7198626 1.5231691
0.6231988 0.5334971 16.3535384 2802.3703387 1.5767090
0.6232260 0.5359355 16.2329011 2801.4895859 1.6013970
0.6238734 0.5944322 17.8000694 2799.5918681 1.4738157
0.6247504 0.6900390 15.1001306 2801.4025604 1.5449940
0.6247803 0.7007409 15.2716404 2802.1337856 1.6048935
0.6256339 0.5705631 17.1650231 2801.5800384 1.6059955
0.6268280 0.7045640 15.4181387 2801.2670617 1.5366868
0.6283702 0.5320286 17.8168415 2801.3908510 1.5537080
0.6284462 0.5759235 17.6010837 2800.9609124 1.5745272
0.6298085 0.6516882 15.1405139 2801.1120847 1.6308498
0.6298907 0.6613939 16.2294963 2800.0900140 1.5612465
0.6315479 0.6759037 16.2023209 2802.2825354 1.5882214
0.6316954 0.5915682 15.1871184 2800.7865136 1.6105839
0.6325858 0.6880634 15.4016500 2800.7742849 1.5981458
0.6328195 0.6584392 15.5085114 2802.1470909 1.6299181
0.6334830 0.6083220 17.1563326 2803.7198160 1.5271297
0.6339671 0.5814110 17.1270724 2799.6459677 1.5011692
0.6357433 0.6278093 17.5369385 2800.4147757 1.5279758
0.6358329 0.6591630 14.8580011 2800.7352539 1.6107696
0.6379574 0.5540411 17.3233809 2802.3961324 1.4755533
0.6386378 0.6901671 15.8679319 2802.1506433 1.5925171
0.6387194 0.5589179 17.2049655 2800.6763445 1.5911259
0.6393045 0.6907631 15.2374283 2803.0412876 1.5682304
