# seed: 1784055086560574239
# N: 155.000
# minAmplitude: 0.19294170643501568
# maxAmplitude: 0.3999961006444704
# minSigma: 17.639417991858277
# maxSigma: 19.99997739942267
# minX0: 2794.430233436969
# maxX0: 2813.1449767060876
# minAlpha: 1.4560060028808783
# maxAlpha: 1.6559824097062028
# chi2 amplitude sigma x0 alpha
20.8783576 0.3856755 19.6610347 2801.9543726 1.5967743
20.8792800 0.3470921 19.7874701 2801.7686763 1.4593069
20.8828760 0.3893308 19.7112166 2806.2323421 1.5210643
20.8854147 0.3750286 19.5051540 2803.5260938 1.4710446
20.8859076 0.3450834 19.7966347 2802.2559923 1.5637265
20.8913948 0.3814762 19.9281142 2800.4199263 1.5033314
20.8954993 0.3733332 19.5242623 2804.1476229 1.4914117
20.8961262 0.3386218 19.9657535 2801.1370809 1.4852554
20.8987117 0.3923611 19.5377622 2804.8720741 1.6169478
20.9026169 0.3330125 19.8747292 2805.1068201 1.6483331
20.9034829 0.3678814 19.7328545 2801.8664050 1.5832957
