# seed: 1784072509930166400
# N: 155.000
# minAmplitude: 0.39346551790654827
# maxAmplitude: 0.9799644172240405
# minSigma: 14.00159463688906
# maxSigma: 17.99982585777346
# minX0: 2794.9065034965315
# maxX0: 2808.6726248433984
# minAlpha: 1.456025085302605
# maxAlpha: 1.6559861236560194
# chi2 amplitude sigma x0 alpha
0.5102400 0.6437800 16.9627770 2801.8363142 1.5631435
0.5120874 0.7053428 15.3170329 2802.1024498 1.5774896
0.5134284 0.5651997 16.8736417 2800.3516105 1.5067524
0.5143261 0.6406329 16.2735753 2802.5475874 1.6051212
0.5159660 0.5688732 15.6487044 2801.6765762 1.6236102
0.5167714 0.6404813 15.7460512 2801.6055626 1.6265317
0.5172301 0.7020866 14.9845262 2801.4652479 1.5815114
0.5177703 0.5811355 15.8303891 2800.3641103 1.5885578
0.5179841 0.5634164 16.0051955 2803.0398927 1.5989097
0.5187342 0.6798314 15.1778646 2800.7024499 1.5801671
0.5192559 0.6428455 15.7715666 2803.1406918 1.5396751
0.5198039 0.6889410 14.8102531 2802.4077484 1.5955781
0.5212500 0.6356520 17.6509283 2802.5247678 1.4913576
0.5229003 0.5906813 16.3325404 2803.5630551 1.5916628
0.5238362 0.6229267 17.1050630 2801.2995401 1.5730280
0.5239967 0.6437456 17.1462681 2801.0583053 1.5429216
0.5242263 0.6014918 17.1135581 2802.3326817 1.5889820
0.5261462 0.5564915 17.4858706 2801.2237261 1.4602343
0.5262767 0.6069865 17.9294361 2802.9123396 1.4845415
0.5272178 0.5701816 15.3792889 2802.2464715 1.6030390
0.5272643 0.6569724 17.2759977 2802.2409750 1.5012479
0.5286293 0.6184313 16.5637071 2800.3925373 1.4750956
0.5289208 0.6153457 15.2644816 2802.2407157 1.6327417
0.5289747 0.6686497 15.6455003 2803.2583128 1.5835997
0.5290486 0.6712857 16.5319040 2800.8605273 1.4743790
0.5295351 0.5603843 17.8707812 2800.1655544 1.4789743
0.5310604 0.6244576 15.8714147 2800.9409524 1.5075957
0.5310785 0.5348418 17.2565198 2802.1440488 1.5232532
0.5310813 0.6403456 15.0867558 2803.1560377 1.5899138
0.5311100 0.6122072 16.2859634 2799.8273584 1.5427323
0.5319454 0.6440509 17.6887253 2800.6798000 1.4761776
0.5326786 0.6289660 16.6664060 2803.5525953 1.5515378
0.5334501 0.5774406 17.0100062 2801.4060607 1.4608267
0.5341141 0.6377298 17.4241499 2802.3514053 1.5274003
0.5360003 0.6148520 17.8266000 2800.4251155 1.5040806
0.5362556 0.6720498 15.9297288 2800.7195544 1.5080493
0.5383484 0.5628443 17.5202652 2802.2756659 1.5783816
